Date,Open,High,Low,Close,Adj Close,Volume
2021-12-29,146.644501,147.417007,145.647507,146.654999,146.654999,17788000
2021-12-30,146.694,147.300003,145.994507,146.2005,146.2005,15688000
2021-12-31,146.050003,146.698502,144.852005,144.852005,144.852005,18136000
2022-01-03,145.054993,145.850998,143.712997,144.991501,144.991501,28646000
2022-01-04,145.395996,146.485001,143.716507,144.399506,144.399506,28400000
2022-01-05,144.419998,144.499496,137.688004,137.774994,137.774994,54618000
2022-01-06,136.998505,139.940002,136.558502,137.747498,137.747498,37348000
2022-01-07,138.145493,138.448502,135.766495,137.016998,137.016998,29760000
2022-01-10,135.078003,138.819504,133.164505,138.669495,138.669495,44408000
2022-01-11,138.007004,140.216003,136.692505,139.735992,139.735992,28730000
2022-01-12,141.149994,142.608002,140.694504,141.430496,141.430496,26108000
2022-01-13,141.539993,142.850006,138.408997,138.587006,138.587006,31436000
2022-01-14,137.078995,140.742004,136.998505,139.480499,139.480499,29662000
2022-01-18,136.175003,137.1315,135.438507,135.998001,135.998001,34872000
2022-01-19,136.523499,137.959503,135.015503,135.116501,135.116501,28648000
2022-01-20,136.25,137.626007,132.964493,133.307495,133.307495,29908000
2022-01-21,132.593506,134.865494,130.086502,130.351501,130.351501,55652000
2022-01-24,125.977997,131.203003,124.5,130.804001,130.804001,76622000
2022-01-25,128.740005,129.399002,126.500504,126.934998,126.934998,46960000
2022-01-26,131.119003,133,127.141998,129.233002,129.233002,49130000
2022-01-27,131.304001,132.652496,128.932495,129.005005,129.005005,31950000
2022-01-28,129.658997,133.356506,128.485001,133.350998,133.350998,34362000
2022-01-31,134.162003,135.473007,132.209503,135.303497,135.303497,39986000
2022-02-01,137.594498,137.792999,134.3685,137.643997,137.643997,68644000
2022-02-02,151.25,151.546494,145.522507,148,148,123200000
2022-02-03,145.705505,149.675003,142.665497,143.089996,143.089996,71518000
2022-02-04,143.444504,144.875,140.514999,143.292999,143.292999,57998000
2022-02-07,144.25,144.25,138.899994,139.201004,139.201004,54974000
2022-02-08,139.026505,140,137.014008,139.399002,139.399002,54284000
2022-02-09,140.963501,142.524506,140.186996,141.591995,141.591995,40144000
2022-02-10,139.703506,141.484497,137.957001,138.619995,138.619995,39330000
2022-02-11,138.600006,139.156494,133.399994,134.282501,134.282501,39958000
2022-02-14,133.2565,136.300003,133.2565,135.526001,135.526001,34302000
2022-02-15,137.570496,138.108505,135.821503,136.608505,136.608505,26680000
2022-02-16,136.6465,138.085999,134.923996,137.738007,137.738007,25022000
2022-02-17,136.242996,137.113495,132.4785,132.539001,132.539001,38950000
2022-02-18,133.466995,134.070007,130.196503,130.403,130.403,45620000
2022-02-22,129.837997,132.180496,128.223495,129.813507,129.813507,44990000
2022-02-23,131.648499,132.050995,127.527496,127.587997,127.587997,32786000
2022-02-24,124.953499,133,124.953499,132.690994,132.690994,54456000
2022-02-25,133.552002,135.2715,131.751495,134.459503,134.459503,36406000
